Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Shepherd),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Tags),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Send SIGKILL after SIGTERM to IOSwitchboard after container termination.,MESOS-7042,13039283,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,qianzhang,vinodkone,vinodkone,31/Jan/17 20:04,16/Jan/19 00:41,29/Oct/20 16:32,08/Jan/19 00:20,,,,,,,,,1.5.2,1.6.2,1.7.1,1.8.0,,,containerization,,,,,0,containerizer,,,,,,,,This is follow up for MESOS-6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2019-01-04 08:05:24.514,,,false,MESOS-7103,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Jan 08 00:20:48 UTC 2019,,,,,,,"0|i39fn3:",9223372036854775807,,,,,gilbert,,,,,,Containerization R9 Sprint 37,,,,,,,,,,,2.0,,,,,,,,,,,"04/Jan/19 08:05;qianzhang;RR: https://reviews.apache.org/r/69667/","08/Jan/19 00:20;gilbert;commit 3478e344fb77d931f6122980c6e94cd3913c441d
Author: Qian Zhang <zhq527725@gmail.com>
Date:   Mon Jan 7 16:16:12 2019 -0800

    Sent SIGKILL to I/O switchboard server as a safeguard.
    
    Review: https://reviews.apache.org/r/69667/",,,,,,,,,,,,,,,,,,,,,,,,,,
Update framework authorization to support multiple roles,MESOS-7022,13038527,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,bbannier,bbannier,bbannier,27/Jan/17 20:50,26/Mar/18 08:04,29/Oct/20 16:32,15/Feb/17 09:51,,,,,,,,,1.3.0,,,,,,master,,,,,0,security,,,,,,,,"Currently the master assumes that a framework is only in a single role, see {{Master::authorizeFramework}}. This code should be updated to support frameworks with multiple roles. In particular it should get authorization of the framework's principal to register in each of the framework's roles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-02-15 09:51:23.028,,,false,MESOS-1763,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Feb 15 09:51:23 UTC 2017,,,,,,,"0|hzzz2k:z",9223372036854775807,,,,,adam-mesos,,,,,,Mesosphere Sprint 51,,,,,,,,,,,3.0,,,,,,,,,,,"01/Feb/17 16:49;bbannier;https://reviews.apache.org/r/56178/","15/Feb/17 09:51;adam-mesos;commit 69ba4ac8b1d375ea708b9b5a120f873e3bb00980
Author: Benjamin Bannier <benjamin.bannier@mesosphere.io>
Date:   Wed Feb 15 00:43:05 2017 -0800

    Enabled the authorizer to work with MULTI_ROLE frameworks.
    
    This updates the local authorizer so that MULTI_ROLE frameworks can be
    authorized.
    
    For non-MULTI_ROLE frameworks we continue to support use of the
    deprecated 'value' field in the authorization request's 'Object';
    however for MULTI_ROLE frameworks the 'value' field will not be set,
    and authorizers still relying on it should be updated to instead use
    the object's 'framework_info' field to extract roles to authorize
    against from.
    
    Review: https://reviews.apache.org/r/56178/",,,,,,,,,,,,,,,,,,,,,,,,,,
Change `Environment.Variable.Value` from required to optional,MESOS-6991,13037825,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,greggomann,greggomann,greggomann,25/Jan/17 20:07,01/Feb/17 22:18,29/Oct/20 16:32,01/Feb/17 22:18,,,,,,,,,1.2.0,,,,,,,,,,,0,,,,,,,,,"To prepare for future work which will enable the modular fetching of secrets, we should change the {{Environment.Variable.Value}} field from {{required}} to {{optional}}. This way, the field can be left empty and filled in by a secret fetching module.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-02-01 22:18:53.637,,,false,MESOS-6365,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Feb 01 22:18:53 UTC 2017,,,,,,,"0|hzzz30:v",9223372036854775807,,,,,vinodkone,,,,,,Mesosphere Sprint 49,Mesosphere Sprint 50,,,,,,,,,,2.0,,,,,,,,,,,"25/Jan/17 20:13;greggomann;Reviews here:
https://reviews.apache.org/r/55954/
https://reviews.apache.org/r/55955/","01/Feb/17 22:18;vinodkone;commit 289830368675afb3a46278202687e30aafc6cb03
Author: Greg Mann <greg@mesosphere.io>
Date:   Wed Feb 1 14:18:02 2017 -0800

    Added validation tests to ensure environment variable value is set.
    
    The `value` field within `Environment::Variable` is being
    changed to `optional`, but for the time being we will
    enforce that it must be set for backward compatibility.
    This patch adds tests to ensure that environment variables
    with unset values are correctly rejected.
    
    Review: https://reviews.apache.org/r/55955/

commit 063ecdee574f7d1d491c490bda2dfb956d8c515e
Author: Greg Mann <greg@mesosphere.io>
Date:   Wed Feb 1 14:17:57 2017 -0800

    Changed 'Environment.Variable.Value' from required to optional.
    
    To prepare for future work which will enable the
    modular fetching of secrets, we should change the
    Environment.Variable.Value field from required to
    optional. This way, the field can be left empty
    and filled in by a secret fetching module.
    
    Review: https://reviews.apache.org/r/55954/
",,,,,,,,,,,,,,,,,,,,,,,,,,
Fix BOOST random generator initialization on Windows,MESOS-6973,13036966,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,kaysoky,dpravat,dpravat,23/Jan/17 07:21,23/Mar/18 23:50,29/Oct/20 16:32,08/Feb/18 21:20,,,,,,,,,1.6.0,,,,,,,,,,,0,microsoft,Windows,,,,,,,"seed_rng::seed_rng does not produced the expected result in Windows since is using `/dev/urandom` file.  

0:005> k
 # Child-SP          RetAddr           Call Site
00 00000049`22dfc108 00007ff6`5193822f kernel32!CreateFileW
...
0e 00000049`22dfc660 00007ff6`502228fd mesos_agent!boost::uuids::detail::seed_rng::seed_rng+0x3d [d:\repositories\mesoswin\build\3rdparty\boost-1.53.0\src\boost-1.53.0\boost\uuid\seed_rng.hpp @ 80]
0f 00000049`22dfc690 00007ff6`502591e3 mesos_agent!boost::uuids::detail::seed<boost::random::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >+0x4d [d:\repositories\mesoswin\build\3rdparty\boost-1.53.0\src\boost-1.53.0\boost\uuid\seed_rng.hpp @ 246]
10 00000049`22dfc790 00007ff6`50395518 mesos_agent!boost::uuids::basic_random_generator<boost::random::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::basic_random_generator<boost::random::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >+0xd3 [d:\repositories\mesoswin\build\3rdparty\boost-1.53.0\src\boost-1.53.0\boost\uuid\random_generator.hpp @ 50]
11 00000049`22dfc800 00007ff6`500ad140 mesos_agent!id::UUID::random+0x78 [d:\repositories\mesoswin\3rdparty\stout\include\stout\uuid.hpp @ 49]
12 00000049`22dfc870 00007ff6`5007ff55 mesos_agent!mesos::internal::slave::Framework::launchExecutor+0x70 [d:\repositories\mesoswin\src\slave\slave.cpp @ 6301]
13 00000049`22dfd520 00007ff6`502a0a35 mesos_agent!mesos::internal::slave::Slave::_run+0x2455 [d:\repositories\mesoswin\src\slave\slave.cpp @ 1990]
...
0:005> du @rcx
000001d7`cc55fb60  ""/dev/urandom""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-01-23 13:09:17.046,,,false,MESOS-3094,,,,,,,,,Important,,,,,,,,9223372036854775807,,,Thu Feb 08 21:20:36 UTC 2018,,,,,,,"0|i3928n:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"23/Jan/17 13:09;ipronin;Boost.Uuid should by default use Mersenne Twister generator from Boost.Random. Until Boost 1.59 it was seeding it's internal generators using a combination of {{/dev/urandom}} contents (if it can be opened), times, and something else. Starting from 1.59 it is using {{CryptAcquireContextW()}} instead of {{/dev/urandom}} on Windows.

With Boost 1.53 to work around this we can pass {{boost::uuids::basic_random_generator}} our own instance of a generator modeling the {{UniformRandomNumberGenerator}} concept properly seeded by ourselves.","25/Jan/17 23:18;klueska;[~hausdorff] Do you have any insight on this?","26/Jan/17 00:00;hausdorff;[~klueska] Thanks for the heads up, I don't know about this issue offhand, but I will assign it to me and tag it `microsoft` so we remember to close it before March 1.","06/Apr/17 22:09;andschwa;Quick comment: we may not even want to use Boost's random number library any more, as C++11 came with a better <random> library.","08/Feb/18 21:20;kaysoky;Boost was updated to 1.65, so this should no longer be a problem.  Changing to {{<random>}} can be a later discussion. 
{code}
commit 469363d4322c7acda7fd10acbe8822f610af5a43
Author: Benno Evers <bevers@mesosphere.com>
Date:   Tue Jan 23 14:47:31 2018 +0100

    Updated boost version.
    
    Review: https://reviews.apache.org/r/62161/
{code}",,,,,,,,,,,,,,,,,,,,,,,
Launching two tasks with the same Docker image simultaneously may cause a staging dir never cleaned up,MESOS-6950,13036035,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Critical,Fixed,qianzhang,qianzhang,qianzhang,19/Jan/17 00:13,17/Aug/17 22:53,29/Oct/20 16:32,11/Aug/17 23:30,,,,,,,,,1.1.3,1.2.3,1.3.2,1.4.0,,,containerization,,,,,0,containerizer,mesosphere,,,,,,,"If user launches two tasks with the same Docker image simultaneously (e.g., run {{mesos-executor}} twice with the same Docker image), there will be a staging directory which is for the second task never cleaned up, like this:
{code}
└── store
    └── docker
        ├── layers
        │    ...
        ├── staging
        │   └── a6rXWC
        └── storedImages
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-01-19 02:45:56.29,,,false,MESOS-2840,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Aug 11 23:30:34 UTC 2017,,,,,,,"0|hzzyj0:zx",9223372036854775807,,,,,gilbert,,,,,,Mesosphere Sprint 60,Mesosphere Sprint 61,,,,,,,,,,2.0,,,,,,,,,,,"19/Jan/17 00:19;qianzhang;The root cause of this issue is, in the {{_get()}} method of Docker store, we always create the staging directory at the beginning, but we do not remove that staging directory if there is an ongoing pulling for the same image, see the following code for details.
https://github.com/apache/mesos/blob/1.1.0/src/slave/containerizer/mesos/provisioner/docker/store.cpp#L217:L244","19/Jan/17 02:45;klueska;[~jieyu] [~gilbert] Could you please take a look at this?","19/Jan/17 03:00;gilbert;Thanks [~klueska].

[~qianzhang], thanks for finding the root cause. Correct, we should create the staging dir inside of the pulling condition. The second staging dir you saw should be an empty dir though. I will fix it, should be quick.","19/Jan/17 03:11;qianzhang;Yes, it is an empty dir.
Should be a straightforward fix, thanks [~gilbert] :-)","10/Aug/17 09:29;qianzhang;RR: https://reviews.apache.org/r/61546/","11/Aug/17 23:30;gilbert;commit d2e4f02dee21511661c1d273a66e32f211794fda
Author: Qian Zhang <zhq527725@gmail.com>
Date:   Fri Aug 11 15:53:55 2017 -0700

    Created staging dir only when needed.
    
    Created staging dir only when needed.
    
    Review: https://reviews.apache.org/r/61546/",,,,,,,,,,,,,,,,,,,,,,
Improve health checks validation.,MESOS-6916,13034626,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,gkleiman,gkleiman,gkleiman,13/Jan/17 12:30,09/Jun/17 14:20,29/Oct/20 16:32,09/Jun/17 14:20,,,,,,,,,1.4.0,,,,,,,,,,,0,health-check,mesosphere,,,,,,,"The ""general""  fields should also be validated (i.e., `timeout_seconds`), similar to what's done in https://reviews.apache.org/r/55458/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-06-09 14:20:24.126,,,false,MESOS-5916,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Jun 09 14:20:24 UTC 2017,,,,,,,"0|i38ntb:",9223372036854775807,,,,,alexr,,,,,,Mesosphere Sprint 57,,,,,,,,,,,2.0,,,,,,,,,,,"07/Jun/17 23:57;gkleiman;https://reviews.apache.org/r/59902/","09/Jun/17 14:20;alexr;{noformat}
Commit: ec40f359ba70e354580865ee3934461047c0fdac [ec40f35]
Author: Gastón Kleiman gaston@mesosphere.io
Date: 9 June 2017 at 15:00:40 GMT+2
Committer: Alexander Rukletsov alexr@apache.org
Commit Date: 9 June 2017 at 15:47:50 GMT+2

Improved health checks validations.

Add validation for the ""general"" fields, such as timeout_seconds.

Review: https://reviews.apache.org/r/59902/
{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,
Zero health check timeout is interpreted literally.,MESOS-6908,13033737,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Minor,Fixed,alexr,alexr,alexr,11/Jan/17 14:33,22/Jan/17 15:11,29/Oct/20 16:32,22/Jan/17 15:11,1.0.2,1.1.0,,,,,,,1.2.0,,,,,,,,,,,0,health-check,mesosphere,,,,,,,"Currently zero health check timeout is interpreted literally, which is not very helpful since a health check does not even get a chance to finish. We suggest to fixe this behaviour by interpreting zero as {{Duration::max()}} effectively rendering the timeout infinite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,MESOS-5916,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Jan 22 15:11:18 UTC 2017,,,,,,,"0|i38k3r:",9223372036854775807,,,,,vinodkone,,,,,,Mesosphere Sprint 50,,,,,,,,,,,1.0,,,,,,,,,,,"12/Jan/17 13:21;alexr;https://reviews.apache.org/r/55454/","22/Jan/17 15:11;alexr;{noformat}
Commit: 2c7f14f423acae0f44798d0c68bd52d611943ee2 [2c7f14f]
Author: Alexander Rukletsov <rukletsov@gmail.com>
Date: 22 January 2017 at 15:00:43 GMT+1
Committer: Alexander Rukletsov <alexr@apache.org>

Ensured zero health check timeout means infinite timeout.

Prior to this patch, zero health check timeout was interpreted
literally, which is not very helpful since a health check did not
even get a chance to finish. This patch fixes this behaviour by
interpreting zero as `Duration::max()` effectively rendering the
timeout infinite.

Review: https://reviews.apache.org/r/55454/
{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,
Add test for framework upgrading to multi-role capability.,MESOS-6900,13033405,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,bbannier,bbannier,bbannier,10/Jan/17 14:41,26/Mar/18 08:04,29/Oct/20 16:32,30/Jan/17 21:57,,,,,,,,,1.2.0,,,,,,test,,,,,0,,,,,,,,,"Frameworks can upgrade to multi-role capability as long as the framework's role remains the same.

We consider the framework roles unchanged if 
* a framework previously didn't specify a {{role}} now has {{roles=()}}, or
* a framework which previously had {{role=A}} and now has {{roles=(A)}}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESOS-7035,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-01-19 22:52:43.985,,,false,MESOS-1763,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Jan 19 22:52:43 UTC 2017,,,,,,,"0|hzzz30:",9223372036854775807,,,,,bmahler,,,,,,Mesosphere Sprint 49,Mesosphere Sprint 50,,,,,,,,,,2.0,,,,,,,,,,,"10/Jan/17 14:50;bbannier;Review: https://reviews.apache.org/r/55381/","19/Jan/17 22:52;bmahler;{noformat}
commit 052fb4414e2cce2b550ce0644f039b6d4a1876fa
Author: Benjamin Bannier <benjamin.bannier@mesosphere.io>
Date:   Thu Jan 19 14:25:48 2017 -0800

    Added a test for framework upgrading to MULTI_ROLE capability.

    Review: https://reviews.apache.org/r/55381/
{noformat}

[~bbannier] do you want to add another test that ensures that frameworks can upgrade even when tasks are running, and that new tasks can be launched? We can do this in a separate ticket as we get closer to having a working implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,
Reconsider process creation primitives on Windows,MESOS-6892,13032840,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,andschwa,hausdorff,hausdorff,07/Jan/17 23:27,21/Aug/17 21:44,29/Oct/20 16:32,04/Apr/17 23:58,,,,,,,,,1.3.0,,,,,,stout,,,,,0,microsoft,,,,,,,,"Windows does not have the same notions of process hierarchies as Unix, and so killing groups of processes requires us to make sure all processes are contained in a job object, which acts something like a cgroup. This is particularly important when we decide to kill a task, as there is no way to reliably do this unless all the processes you'd like to kill are in the job object.

This causes us a number of issues; it is a big reason we needed to fork the command executor, and it is the reason tasks are currently unkillable in the default executor.

As we clean this issue up, we need to think carefully about the process governance semantics of Mesos, and how we can map them to a reliable, simple Windows implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESOS-6807,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-02-03 23:02:55.882,,,false,MESOS-3094,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Apr 04 23:58:55 UTC 2017,,,,,,,"0|hzzysd:",9223372036854775807,,,,,kaysoky,,,,,,Mesosphere Sprint 52,Mesosphere Sprint 53,Mesosphere Sprint 54,,,,,,,,,5.0,,,,,,,,,,,"03/Feb/17 23:02;andschwa;The use of `os::pids`, `os::processes`, and `os::pstree` may no longer be necessary. We'll probably end up removing them for Windows, but I deem it as separate work.","29/Mar/17 01:02;kaysoky;Review chain starts here: https://reviews.apache.org/r/56364/","04/Apr/17 23:58;kaysoky;{code}
commit c94041b7cb643d701dfcf6d67c492b53f02f75bd
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 12:15:51 2017 -0700

    Windows: Added `JobObjectManager` global actor.
    
    This commit adds a Windows-specific actor for managing job objects.
    
    A subprocess launched with the `ParentHook::CREATE_JOB()` is created
    within the context of a named Windows job object. The `JobObjectManager`
    takes ownership of the handle to the job object.
    
    It is necessary to tie the lifetime of the job object to the actor by
    ownership of the open handle so that the job object can be queried for
    usage information even after the processes that were running within the
    job object have ended. These semantics were not changed; previously the
    same was achieved by leaking the handle and tying it to the lifetime of
    the actual Mesos agent process, and implicitly depending on the
    operating system to close the open handle at the death of the process.
    
    We ensure the proper death of the job object process group by defering a
    call to `cleanup()` to the process reaper for the given PID. This
    function uses the Windows system call to terminate the job object via
    `os::kill_job()`.
    
    Review: https://reviews.apache.org/r/57973/
{code}
{code}
commit cb23605674027cd4c7ee0a877b8af31ca01c85e9
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 13:38:17 2017 -0700

    Windows: Combined Posix/Windows-Launcher into SubprocessLauncher.
    
    This commit renames the `PosixLauncher` into the SubprocessLauncher`
    and deletes the trivially derived class `WindowsLauncher`.  With the
    improved job object support in stout/libprocess, the same launcher
    is now suitable for both POSIX systems and Windows.  Thus, the previous
    name became a misnomer (PosixLauncher).
    
    Review: https://reviews.apache.org/r/57974/
{code}
{code}
commit c51ebf508d9aaed2d1c75c46e72148df8aa6bb7b
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 14:19:10 2017 -0700

    Windows: Changed command executor to use Subprocess.
    
    By encapsulating the job object logic inside a (Windows-only) libprocess
    actor, we're able to reuse `Subprocess` for launching tasks on Windows.
    This allows us to remove the entirety of `launchTaskWindows` and instead
    reuse `launchTaskPosix`, which just uses `subprocess`. This also fixes
    the `CommitSuicideOnTaskFailure` test, which is now enabled.
    
    Much of the code in this commit will be moved in a subsequent commit,
    as there is no longer any need to separate the Posix/Windows launch
    paths in the command executor.
    
    Review: https://reviews.apache.org/r/57975/
{code}
{code}
commit 0f812d6816db80e2e1fe0a38f73e7d1d45d19fe2
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 14:20:52 2017 -0700

    Refactored command executor to unify launch paths.
    
    This commit reverses the file split done in e821978.
    Since `launchTaskPosix` and `launchTaskWindows` were reconciled
    using `Subprocess`, the files were pulled back into just
    `src/launcher/executor.cpp` with `launchTaskSubprocess`.
    
    Review: https://reviews.apache.org/r/57976/
{code}",,,,,,,,,,,,,,,,,,,,,,,,,
Transition Windows away from `os::killtree`.,MESOS-6868,13032410,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,andschwa,hausdorff,hausdorff,05/Jan/17 23:13,04/Apr/17 23:59,29/Oct/20 16:32,04/Apr/17 23:59,,,,,,,,,1.3.0,,,,,,agent,,,,,0,mesosphere,microsoft,,,,,,,"Windows does not have as robust a notion of a process hierarchy as Unix, and thus functions like `os::killtree` will always have critical limitations and semantic mismatches between Unix and Windows.

We should transition away from this function when we can, and replace it with something similar to how we kill a cgroup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-01-26 00:01:33.533,,,false,MESOS-3094,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Apr 04 23:59:42 UTC 2017,,,,,,,"0|hzzysk:r",9223372036854775807,,,,,kaysoky,,,,,,Mesosphere Sprint 53,Mesosphere Sprint 54,,,,,,,,,,3.0,,,,,,,,,,,"26/Jan/17 00:01;andschwa;I've started the transition away from `os::killtree` for the `WindowsLauncher` and default executor, but there are still many instances in use elsewhere in the code base.","29/Mar/17 01:02;kaysoky;Part of this review chain: https://reviews.apache.org/r/56367/","04/Apr/17 23:59;kaysoky;{code}
commit db0f5697ed61ba44f0f50fedd55848eaaf50348a
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 15:07:10 2017 -0700

    Windows: Stout: Rewrote job object wrappers.
    
    `os::create_job` now returns a `Try<SharedHandle>` instead of a raw
    `HANDLE`, forcing ownership of the job object handle onto the caller
    of the function. `create_job` requires a `std::string name` for the
    job object, which is mapped from a PID using `os::name_job`.
    
    The assignment of a process to the job object is now done via
    `Try<Nothing> os::assign_job(SharedHandle, pid_t)`.
    
    The equivalent of killing a process tree with job object semantics
    is simply to terminate the job object. This is done via
    `os::kill_job(SharedHandle)`.
    
    Review: https://reviews.apache.org/r/56364/
{code}
{code}
commit 176c09d8debb64e98fed14ef499f9205132b9180
Author: Andrew Schwartzmeyer <andrew@schwartzmeyer.com>
Date:   Mon Apr 3 11:57:32 2017 -0700

    Windows: Stout: Adapted `os::killtree` to terminate job objects.
    
    On Windows, a ""process tree"" is in fact a job object. Thus, the
    implementation of `os::killtree` on Windows is an adapter which
    terminates the job object corresponding to the process group
    represented by the given PID.
    
    Review: https://reviews.apache.org/r/56367/
{code}",,,,,,,,,,,,,,,,,,,,,,,,,
